2023-07-21 10:57:29,239 INFO    HandlerThread:11872 [system_monitor.py:finish():190] Stopping system monitor
2023-07-21 10:57:29,240 DEBUG   SystemMonitor:11872 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-07-21 10:57:29,240 DEBUG   SystemMonitor:11872 [system_monitor.py:_start():166] Finished system metrics aggregation loop
2023-07-21 10:57:29,244 INFO    HandlerThread:11872 [interfaces.py:finish():202] Joined cpu monitor
2023-07-21 10:57:29,244 DEBUG   SystemMonitor:11872 [system_monitor.py:_start():170] Publishing last batch of metrics
2023-07-21 10:57:29,245 INFO    HandlerThread:11872 [interfaces.py:finish():202] Joined disk monitor
2023-07-21 10:57:29,279 INFO    HandlerThread:11872 [interfaces.py:finish():202] Joined gpu monitor
2023-07-21 10:57:29,279 INFO    HandlerThread:11872 [interfaces.py:finish():202] Joined memory monitor
2023-07-21 10:57:29,279 INFO    HandlerThread:11872 [interfaces.py:finish():202] Joined network monitor
2023-07-21 10:57:29,280 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,280 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 2
2023-07-21 10:57:29,280 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 3
2023-07-21 10:57:29,280 DEBUG   SenderThread:11872 [sender.py:send():369] send: stats
2023-07-21 10:57:29,280 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,280 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 3
2023-07-21 10:57:29,281 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,281 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 3
2023-07-21 10:57:29,281 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 4
2023-07-21 10:57:29,281 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,281 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 4
2023-07-21 10:57:29,281 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,281 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 4
2023-07-21 10:57:29,281 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 5
2023-07-21 10:57:29,281 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,281 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 5
2023-07-21 10:57:29,282 DEBUG   SenderThread:11872 [sender.py:send():369] send: summary
2023-07-21 10:57:29,282 INFO    SenderThread:11872 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 10:57:29,283 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,283 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 5
2023-07-21 10:57:29,283 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 6
2023-07-21 10:57:29,283 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,283 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 6
2023-07-21 10:57:29,284 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,284 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 6
2023-07-21 10:57:29,286 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: status_report
2023-07-21 10:57:29,627 INFO    SenderThread:11872 [sender.py:transition_state():602] send defer: 7
2023-07-21 10:57:29,627 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: defer
2023-07-21 10:57:29,627 INFO    HandlerThread:11872 [handler.py:handle_request_defer():170] handle defer: 7
2023-07-21 10:57:29,627 DEBUG   SenderThread:11872 [sender.py:send_request():396] send_request: defer
2023-07-21 10:57:29,627 INFO    SenderThread:11872 [sender.py:send_request_defer():598] handle sender defer: 7
2023-07-21 10:57:29,659 INFO    Thread-16 :11872 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105706-i277o5qn\files\wandb-summary.json
2023-07-21 10:57:29,659 INFO    Thread-16 :11872 [dir_watcher.py:_on_file_modified():289] file/dir modified: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105706-i277o5qn\files\config.yaml
2023-07-21 10:57:29,659 INFO    Thread-16 :11872 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_105706-i277o5qn\files\output.log
2023-07-21 10:57:30,271 DEBUG   HandlerThread:11872 [handler.py:handle_request():144] handle_request: poll_exit
