2023-07-21 11:10:13,646 INFO    Thread-15 (_thread_body):12968 [sender.py:transition_state():602] send defer: 11
2023-07-21 11:10:13,647 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:13,647 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 11
2023-07-21 11:10:13,650 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:13,650 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 11
2023-07-21 11:10:13,650 INFO    SenderThread:12968 [file_pusher.py:join():164] waiting for file pusher
2023-07-21 11:10:13,651 INFO    SenderThread:12968 [sender.py:transition_state():602] send defer: 12
2023-07-21 11:10:13,651 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:13,652 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 12
2023-07-21 11:10:13,653 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:13,653 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 12
2023-07-21 11:10:13,989 INFO    SenderThread:12968 [sender.py:transition_state():602] send defer: 13
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:13,989 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 13
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:13,989 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 13
2023-07-21 11:10:13,989 INFO    SenderThread:12968 [sender.py:transition_state():602] send defer: 14
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: defer
2023-07-21 11:10:13,989 INFO    HandlerThread:12968 [handler.py:handle_request_defer():170] handle defer: 14
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send():369] send: final
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send():369] send: footer
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: defer
2023-07-21 11:10:13,989 INFO    SenderThread:12968 [sender.py:send_request_defer():598] handle sender defer: 14
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: poll_exit
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: server_info
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: get_summary
2023-07-21 11:10:13,989 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: sampled_history
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:13,989 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: poll_exit
2023-07-21 11:10:14,005 DEBUG   SenderThread:12968 [sender.py:send_request():396] send_request: server_info
2023-07-21 11:10:14,345 INFO    MainThread:12968 [wandb_run.py:_footer_history_summary_info():3464] rendering history
2023-07-21 11:10:14,345 INFO    MainThread:12968 [wandb_run.py:_footer_history_summary_info():3496] rendering summary
2023-07-21 11:10:14,345 INFO    MainThread:12968 [wandb_run.py:_footer_sync_info():3423] logging synced files
2023-07-21 11:10:14,348 DEBUG   HandlerThread:12968 [handler.py:handle_request():144] handle_request: shutdown
2023-07-21 11:10:14,348 INFO    HandlerThread:12968 [handler.py:finish():854] shutting down handler
2023-07-21 11:10:15,009 INFO    WriterThread:12968 [datastore.py:close():298] close: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_110945-smx8muh1\run-smx8muh1.wandb
2023-07-21 11:10:15,345 INFO    SenderThread:12968 [sender.py:finish():1526] shutting down sender
2023-07-21 11:10:15,345 INFO    SenderThread:12968 [file_pusher.py:finish():159] shutting down file pusher
2023-07-21 11:10:15,345 INFO    SenderThread:12968 [file_pusher.py:join():164] waiting for file pusher
